"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"1","Bij ouders",14,"nee","41-60 min.",7,"het is goedkoop en makkelijk wonen bij je ouders maar het is wel elke dag een eind naar school rijden.                                                                                                                                                    ","weet ik  (nog)  niet",15,500,"belangrijk","onbelangrijk","neutraal","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past enigszins","past wel","past niet","3",1997,300,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",20
"2","Bij ouders",NA,"nee","21-40 min.",9,"Ik heb het naar mijn zin thuis en kan mijn hobby ook beoefenen thuis.                                                                                                                                                                                     ","nee, voorlopig niet van pan",50,NA,"zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","onbelangrijk","past helemaal niet","past niet","past helemaal niet","past enigszins","past helemaal niet","vrouw",1998,51,"Logistiek","                                                                                                                                                                                                                                                          ",NA,19
"3","Bij ouders",NA,"nee","61-90 min.",7,"vind het fijn om thuis te wonen, maar heb soms wat meer rust voor mezelf nodig                                                                                                                                                                            ","weet ik  (nog)  niet",20,400,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","belangrijk","past wel","past enigszins","past wel","past enigszins","past enigszins","vrouw",1997,120,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",20
"4","Bij ouders",NA,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",NA,300,"belangrijk","belangrijk","belangrijk","onbelangrijk","neutraal","belangrijk","neutraal","past wel","past wel","past enigszins","past niet","past wel","vrouw",1998,250,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"5","Bij ouders",NA,"ja","10-20 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",30,400,"belangrijk","belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","past niet","past wel","past wel","past wel","past enigszins","vrouw",1998,300,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"6","Bij ouders",NA,"nee","61-90 min.",10,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",45,500,"zeer belangrijk","onbelangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","onbelangrijk","past enigszins","past enigszins","past enigszins","past enigszins","past wel","vrouw",1998,450,"Bedrijfskunde /MER","De vraagstelling kan iets duidelijker                                                                                                                                                                                                                     ","Selected",19
"7","Bij ouders",NA,"nee","langer dan 90 min.",10,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",NA,400,"zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","zeer onbelangrijk","past helemaal niet","past helemaal niet","past niet","past helemaal niet","past helemaal niet","vrouw",1993,630,"Human Resource Management","Ik zie niet in, waarom het relevant is op hoeveel woonoppervlakte ik woon.                                                                                                                                                                                ","Selected",24
"8","Bij ouders",NA,"nee","21-40 min.",8,"thuis wonen is goedkoper                                                                                                                                                                                                                                  ","ja, over meer dan 1 jaar",15,400,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","onbelangrijk","onbelangrijk","past wel","past wel","past enigszins","past wel","past niet","vrouw",1995,500,"Logistiek","goede voorbeelden van studentenkamers                                                                                                                                                                                                                     ","Selected",22
"9","Bij ouders",4,"ja","21-40 min.",8,"Totale reistijd met het lopen naar school erbij, is het ongeveer halfuurtje. Dat is wel te doen                                                                                                                                                           ","nee, voorlopig niet van pan",10,20,"zeer belangrijk","neutraal","neutraal","neutraal","zeer belangrijk","neutraal","onbelangrijk","past enigszins","past enigszins","past wel","past niet","past niet","vrouw",1994,400,"Human Resource Management","Niet handig ivm een google account. Er is daar geen rekening mee gehouden. Niet iedereen heeft een google account, en een enquete via google te hanteren plicht je studenten wel om een account aan te maken.                                             ","Selected",23
"10","Bij ouders",5,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",5,300,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","neutraal","past enigszins","past niet","past wel","past helemaal niet","past helemaal niet","vrouw",1995,400,"Facility Management","-                                                                                                                                                                                                                                                         ","Selected",22
